飛行記録の作成

[0:03] 【試験官】それでは次のページをめくっていただき飛行記録の作成を行ってください。
[0:07] 【操縦者】はい、飛行記録の作成を行います。まずは無人航空機の登録記号を記入します。
[0:13] 【操縦者】JU324A 02D3D1...
[0:28] 【操縦者】続いて飛行年月日を記入します。2025年6月16日、飛行させた者の氏名を記入します。
[0:39] 【操縦者】ハミング太郎。係留の有無に関しては今回なしですので、なしと丸をつけます。
[0:46] 【操縦者】飛行の目的を記入します。実技審査と記入します。
[0:58] 【操縦者】飛行概要を記入します。30m未満と記入します。
[1:08] 【操縦者】離陸場所を記入します。テクニカルセンターと記入します。
[1:16] 【操縦者】着陸場所を記入します。こちらもテクニカルセンターと記入します。
[1:24] 【操縦者】離陸時刻を記入します。12時5分と記入します。
[1:30] 【操縦者】着陸時刻を記入します。12時50分と記入します。
[1:37] 【操縦者】飛行時間を記入します。今回は45分と記入します。
[1:44] 【操縦者】総飛行時間も同じく45分と記入します。
[1:49] 【操縦者】飛行の安全に影響のあった事項は特にありませんでしたので、特になしと記入します。
[1:59] 【操縦者】以上で無人航空機の飛行記録の作成を終了します。
